Team,Time_period,Treatment,Time,temperature,rel_humidity,phorids_expected,phorids_present,phorids_invaded,N_ants,Notes
B,Baseline 3,Experimental,04:01:00,33.43435185185185,52.4,FALSE,FALSE,FALSE,129,
B,5,Control,04:19:00,34.700599999999994,49.98684,FALSE,FALSE,FALSE,189,
B,5,Experimental,04:19:00,34.280162037037044,48.35191666666667,TRUE,TRUE,FALSE,117,
B,10,Control,04:25:00,34.76846666666667,50.40764,FALSE,FALSE,FALSE,188,
B,10,Experimental,04:25:00,34.5694212962963,48.48529166666667,TRUE,TRUE,FALSE,125,
B,15,Control,04:32:00,34.456577777777774,48.36164,FALSE,FALSE,FALSE,183,
B,15,Experimental,04:32:00,34.52206018518518,46.650625,TRUE,TRUE,FALSE,90,ants went frantic (possibly due to fly)
B,20,Control,04:37:00,34.20244444444444,50.35048,FALSE,FALSE,FALSE,175,
B,20,Experimental,04:37:00,34.34259259259259,48.59108333333333,TRUE,TRUE,FALSE,128,
B,25,Control,04:43:00,34.02813333333333,47.03516,FALSE,FALSE,FALSE,169,
B,25,Experimental,04:43:00,34.351481481481486,46.047,TRUE,TRUE,FALSE,82,ants went frantic (possibly due to fly)
C,Baseline 1,Control,03:50:00,30.590648148148148,60.783541666666665,FALSE,FALSE,FALSE,111,
C,Baseline 1,Experimental,03:50:00,33.59835648148148,58.186375,FALSE,FALSE,FALSE,191,
C,Baseline 2,Control,03:55:00,31.56719907407408,58.938874999999996,FALSE,FALSE,FALSE,126,
C,Baseline 2,Experimental,03:55:00,36.68159722222222,54.559583333333336,FALSE,FALSE,FALSE,225,
C,Baseline 3,Control,04:00:00,32.01819444444445,56.168458333333334,FALSE,FALSE,FALSE,124,
C,Baseline 3,Experimental,04:00:00,39.36085648148148,46.09770833333334,FALSE,FALSE,FALSE,166,
C,5,Control,04:17:00,31.526759259259265,60.76804166666667,FALSE,FALSE,FALSE,105,
C,5,Experimental,04:17:00,38.92909722222222,40.49970833333333,TRUE,TRUE,FALSE,140,
C,10,Control,04:22:00,31.48715277777778,62.484833333333334,FALSE,FALSE,FALSE,92,
C,10,Experimental,04:22:00,37.79909722222222,41.50225,TRUE,TRUE,FALSE,112,
C,15,Control,04:27:00,31.45993055555556,63.737208333333335,FALSE,TRUE,TRUE,69,phorid flies invaded control
C,15,Experimental,04:27:00,37.074814814814815,42.56791666666667,TRUE,TRUE,FALSE,117,
C,20,Control,04:32:00,31.360347222222217,61.90829166666666,FALSE,TRUE,TRUE,88,phorid flied in control
C,20,Experimental,04:32:00,36.35002314814815,43.64666666666667,TRUE,TRUE,FALSE,139,
C,25,Control,04:37:00,31.191574074074076,64.28525,FALSE,TRUE,TRUE,99,phorid flies in control
C,25,Experimental,04:37:00,36.064236111111114,44.967,TRUE,TRUE,FALSE,127,
